messages.insertOne ---|| {"_id":"5eddd09ed5b0403874a686c0","user":"cecilio frederico 2","room":"5eb21940dc16083cec8b6af1-5e9e4f45e8056027ccf5105d","customer":"cecilio frederico 2","client":"5e9e4f45e8056027ccf5105d","text":"23","updated_at":"2020-06-08T05:46:06.490Z","created_at":"2020-06-08T05:46:06.490Z","__v":0} ||--- Mon Jun 08 2020 13:46:06 GMT+0800 (China Standard Time)
messages.insertOne ---|| {"_id":"5eddd0a4d5b0403874a686c1","user":"cecilio frederico 2","room":"5eb21940dc16083cec8b6af1-5e9e4f45e8056027ccf5105d","customer":"cecilio frederico 2","client":"5e9e4f45e8056027ccf5105d","text":"qe","updated_at":"2020-06-08T05:46:12.217Z","created_at":"2020-06-08T05:46:12.217Z","__v":0} ||--- Mon Jun 08 2020 13:46:12 GMT+0800 (China Standard Time)
messages.insertOne ---|| {"_id":"5eddd3b3fbd4df25b8acf5d0","user":"system admin","room":"5eb21940dc16083cec8b6af1-5ea0e8793d8c2f0e742e0216","customer":"system admin","text":"123","updated_at":"2020-06-08T05:59:15.560Z","created_at":"2020-06-08T05:59:15.560Z","__v":0} ||--- Mon Jun 08 2020 13:59:15 GMT+0800 (China Standard Time)
messages.insertOne ---|| {"_id":"5eddd405fbd4df25b8acf5d1","user":"system admin","room":"5eb21940dc16083cec8b6af1-5ea0e8793d8c2f0e742e0216","customer":"system admin","text":"234","updated_at":"2020-06-08T06:00:37.692Z","created_at":"2020-06-08T06:00:37.692Z","__v":0} ||--- Mon Jun 08 2020 14:00:37 GMT+0800 (China Standard Time)
messages.insertOne ---|| {"_id":"5eddd40dfbd4df25b8acf5d2","user":"system admin","room":"5eb21940dc16083cec8b6af1-5ea0e8793d8c2f0e742e0216","customer":"system admin","text":"wser","updated_at":"2020-06-08T06:00:45.161Z","created_at":"2020-06-08T06:00:45.161Z","__v":0} ||--- Mon Jun 08 2020 14:00:45 GMT+0800 (China Standard Time)
messages.insertOne ---|| {"_id":"5eddd412fbd4df25b8acf5d3","user":"system admin","room":"5eb21940dc16083cec8b6af1-5ea0e8793d8c2f0e742e0216","customer":"system admin","text":"qwe","updated_at":"2020-06-08T06:00:51.002Z","created_at":"2020-06-08T06:00:51.002Z","__v":0} ||--- Mon Jun 08 2020 14:00:51 GMT+0800 (China Standard Time)
messages.insertOne ---|| {"_id":"5eddd413fbd4df25b8acf5d4","user":"system admin","room":"5eb21940dc16083cec8b6af1-5ea0e8793d8c2f0e742e0216","customer":"system admin","text":"qwe","updated_at":"2020-06-08T06:00:51.954Z","created_at":"2020-06-08T06:00:51.954Z","__v":0} ||--- Mon Jun 08 2020 14:00:51 GMT+0800 (China Standard Time)
messages.insertOne ---|| {"_id":"5eddd415fbd4df25b8acf5d5","user":"system admin","room":"5eb21940dc16083cec8b6af1-5ea0e8793d8c2f0e742e0216","customer":"system admin","text":"s","updated_at":"2020-06-08T06:00:53.450Z","created_at":"2020-06-08T06:00:53.450Z","__v":0} ||--- Mon Jun 08 2020 14:00:53 GMT+0800 (China Standard Time)
messages.insertOne ---|| {"_id":"5eddd416fbd4df25b8acf5d6","user":"system admin","room":"5eb21940dc16083cec8b6af1-5ea0e8793d8c2f0e742e0216","customer":"system admin","text":"s","updated_at":"2020-06-08T06:00:54.206Z","created_at":"2020-06-08T06:00:54.206Z","__v":0} ||--- Mon Jun 08 2020 14:00:54 GMT+0800 (China Standard Time)
messages.insertOne ---|| {"_id":"5eddd417fbd4df25b8acf5d7","user":"system admin","room":"5eb21940dc16083cec8b6af1-5ea0e8793d8c2f0e742e0216","customer":"system admin","text":"e","updated_at":"2020-06-08T06:00:55.209Z","created_at":"2020-06-08T06:00:55.209Z","__v":0} ||--- Mon Jun 08 2020 14:00:55 GMT+0800 (China Standard Time)
